,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
51,"Thursday, May 27",ARI,STL,4.0,5.0,10.0,Reyes,Crichton,Ponce de Leon,3:28,8951.0
52,"Friday, May 28",ARI,STL,6.0,8.0,9.0,Woodford,Bumgarner,Ponce de Leon,3:28,11581.0
53,"Saturday, May 29",ARI,STL,4.0,7.0,9.0,Wainwright,Frankoff,Reyes,3:24,17834.0
54,"Sunday, May 30",ARI,STL,9.0,2.0,9.0,Peacock,Kim,Smith,2:59,16681.0
55,"Monday, May 31",ARI,NYM,2.0,6.0,9.0,deGrom,Kelly,None,2:58,11309.0
56,"Tuesday, Jun 1",ARI,NYM,6.0,5.0,10.0,Young,May,None,3:27,9590.0
57,"Wednesday, Jun 2",ARI,NYM,6.0,7.0,9.0,Castro,Soria,Diaz,3:12,9810.0
64,"Friday, Jun 11",ARI,LAA,5.0,6.0,10.0,Iglesias,Buchter,Claudio,4:09,18458.0
65,"Saturday, Jun 12",ARI,LAA,7.0,8.0,9.0,Claudio,Soria,Iglesias,3:23,13863.0
66,"Sunday, Jun 13",ARI,LAA,3.0,10.0,9.0,Sandoval,Duplantier,None,3:05,12768.0
71,"Friday, Jun 18",ARI,LAD,0.0,3.0,9.0,Bauer,Mantiply,Jansen,3:09,25356.0
72,"Saturday, Jun 19",ARI,LAD,3.0,9.0,9.0,Buehler,Peacock,None,3:06,29904.0
73,"Sunday, Jun 20",ARI,LAD,8.0,9.0,9.0,Cleavinger,Young,Jansen,3:39,31661.0
74,"Monday, Jun 21",ARI,MIL,5.0,1.0,9.0,Kelly,Anderson,None,2:55,9804.0
75,"Tuesday, Jun 22",ARI,MIL,0.0,5.0,9.0,Peralta,Gallen,None,3:13,9358.0
76,"Wednesday, Jun 23",ARI,MIL,2.0,3.0,9.0,Woodruff,Smith,Hader,3:28,8676.0
83,"Thursday, Jul 1",ARI,SFG,5.0,3.0,9.0,Kelly,Cueto,Soria,2:37,9172.0
84,"Friday, Jul 2",ARI,SFG,4.0,11.0,9.0,Wood,Gallen,None,3:40,12262.0
85,"Saturday, Jul 3",ARI,SFG,5.0,6.0,9.0,Leone,Buchter,McGee,3:47,23689.0
86,"Sunday, Jul 4",ARI,SFG,2.0,5.0,9.0,DeSclafani,Smith,Rogers,2:43,27032.0
87,"Tuesday, Jul 6",ARI,COL,4.0,3.0,9.0,Soria,Bard,None,3:17,6847.0
88,"Wednesday, Jul 7",ARI,COL,6.0,4.0,9.0,Peacock,Senzatela,Soria,3:02,7852.0
